,city,Latitude,Longitude,Temperature,Humidity,Cloud,Wind
0,mataura,-46.19,168.86,73.74,53,56,18.92
1,tasiilaq,65.61,-37.64,14,40,56,5.82
2,yellowknife,62.45,-114.38,-16.61,68,20,8.05
3,tuatapere,-46.13,167.69,66.14,75,80,16.24
4,airai,-8.93,125.41,75.63,86,0,2.04
5,chifeng,42.27,118.96,6.47,59,56,4.27
6,butaritari,3.07,172.79,85.98,95,64,17.25
7,kapaa,22.08,-159.32,75.2,73,75,18.34
8,albany,42.65,-73.75,28.4,39,75,3.36
9,nanortalik,60.14,-45.24,26.49,100,44,50.47
10,kahului,20.89,-156.47,78.8,69,40,11.41
11,rikitea,-23.12,-134.97,80.13,100,76,34.92
12,rudiskes,54.52,24.83,35.6,100,90,1.12
13,bredasdorp,-34.53,20.04,69.8,77,56,9.17
14,victoria,5.28,115.24,77,94,75,1.12
15,port alfred,-33.59,26.89,67.53,97,0,2.26
16,gisborne,-38.66,178.02,75.99,63,0,7.63
17,vaini,15.34,74.49,51.69,83,0,1.7
19,hambantota,6.12,81.12,76.76,100,0,4.16
20,longyearbyen,78.22,15.63,-5.81,63,75,10.29
21,bathsheba,13.22,-59.52,77,65,20,18.34
22,ribeira grande,38.52,-28.7,58.4,100,24,11.65
24,lompoc,34.64,-120.46,55.4,66,90,21.92
25,grindavik,63.84,-22.43,32,86,20,25.28
26,dingle,11,122.67,75.99,75,8,12.55
27,barrow,-38.31,-60.23,82.97,32,0,12.1
29,margate,-43.03,147.26,66.2,68,75,12.75
30,port elizabeth,39.31,-74.98,37.4,74,90,6.93
31,coquimbo,-29.95,-71.34,66.2,72,0,5.82
32,sibolga,1.74,98.78,68.79,100,48,2.59
33,novyy urgal,51.07,132.56,-0.06,52,0,4.61
34,hobart,-42.88,147.33,66.2,68,75,12.75
36,east london,-33.02,27.91,71.99,100,12,1.7
37,san patricio,-26.98,-56.83,79.28,65,0,4.16
39,lebu,8.96,38.73,57.2,71,20,6.93
40,ilulissat,69.22,-51.1,-7.61,57,0,2.24
41,kavieng,-2.57,150.8,83.73,100,64,13.44
42,aklavik,68.22,-135.01,14,56,20,4.7
43,mitsamiouli,-11.38,43.28,82.25,98,92,9.19
44,busselton,-33.64,115.35,63.89,100,0,18.81
45,punta arenas,-53.16,-70.91,46.4,70,90,13.87
46,plettenberg bay,-34.05,23.37,65.64,100,8,8.75
47,azogues,-2.74,-78.85,69.8,46,40,4.7
48,magadan,59.56,150.8,2.46,100,44,9.19
49,ponta delgada,37.73,-25.67,50,66,20,8.05
50,kruisfontein,-34,24.73,60.83,90,12,3.38
52,medicine hat,50.04,-110.68,1.4,77,90,10.29
53,carnarvon,-30.97,22.13,66.86,34,0,10.98
54,ceres,-29.88,-61.95,81.21,52,0,7.29
55,bluff,-23.58,149.07,84.32,47,0,4.83
56,icatu,-2.77,-44.05,77,94,75,10.29
58,saldanha,41.42,-6.55,43.01,87,92,2.93
59,camacha,33.08,-16.33,60.8,67,40,18.34
60,kaitangata,-46.28,169.85,68.34,53,0,5.5
61,avarua,-21.21,-159.78,84.2,74,32,9.17
62,cockburn town,21.46,-71.14,78.29,99,0,13.33
64,ushuaia,-54.81,-68.31,44.6,65,90,17.22
66,otane,-39.89,176.62,74.28,45,0,6.4
67,villa guerrero,21.98,-103.59,74.46,26,0,3.49
68,puerto ayora,-0.74,-90.35,82.4,69,20,6.93
69,paamiut,61.99,-49.67,30.18,96,88,24.4
70,constitucion,23.99,-104.67,75.2,25,5,19.46
71,chokurdakh,70.62,147.9,-34.49,63,20,5.95
72,vila franca do campo,37.72,-25.43,50,66,20,8.05
73,bose,45.46,8.01,44.6,74,0,2.24
74,upernavik,72.79,-56.15,-2.9,100,56,4.05
75,kodiak,39.95,-94.76,26.6,68,90,16.11
76,colesberg,-30.72,25.1,59.3,59,0,6.62
77,west wendover,40.74,-114.07,32,88,90,6.29
78,naze,5.43,7.07,76.94,71,0,7.63
79,maragogi,-9.01,-35.22,78.51,94,20,7.85
80,dillon,45.22,-112.64,8.6,65,90,18.34
81,cape town,-33.93,18.42,71.6,73,0,11.41
82,verkhnevilyuysk,63.45,120.31,0.48,72,68,6.73
83,atuona,-9.8,-139.03,80.18,100,88,8.75
84,mikuni,36.22,136.15,37.4,86,75,5.82
85,ancud,-41.87,-73.83,66.2,52,90,8.05
86,hermanus,-34.42,19.24,59.57,93,0,4.38
87,pevek,69.7,170.27,-7.4,91,64,13.89
88,mabaruma,8.2,-59.78,78.83,77,76,8.52
89,lahaina,20.87,-156.68,78.8,69,40,11.41
90,sept-iles,50.2,-66.38,5,50,20,9.17
91,hokitika,-42.72,170.96,61.41,97,20,5.73
92,bien unido,10.14,124.38,75.2,83,90,6.93
94,kieta,-6.22,155.63,80.76,99,48,4.27
95,barranca,-10.75,-77.76,73.79,98,20,6.85
96,manacapuru,-3.3,-60.62,82.4,74,20,6.51
97,tuktoyaktuk,69.44,-133.03,-2.21,77,20,5.82
98,esperance,10.24,-61.45,80.6,69,20,20.8
99,pisco,-13.71,-76.2,71.6,30,0,17.22
100,valdivia,-39.81,-73.25,66.2,68,0,11.41
101,la ronge,55.1,-105.3,-9.41,69,20,4.7
102,bilibino,68.06,166.44,-21.08,58,64,3.15
103,khani,41.96,42.96,41,93,90,3.36
104,manokwari,-0.87,134.08,79.14,100,56,6.85
105,sao felix do xingu,-6.64,-51.99,76.26,94,80,2.15
106,juan lacaze,-34.43,-57.44,78.38,61,20,4.83
107,kijang,35.24,129.21,33.8,37,0,6.93
108,auki,12.18,6.51,64.07,35,0,8.63
109,atambua,-9.11,124.89,80.45,100,8,4.38
110,bandarbeyla,9.49,50.81,74.51,100,0,5.95
111,souillac,45.6,-0.6,48.2,70,0,4.7
112,vangaindrano,-23.35,47.6,72.71,91,56,3.38
113,muravlenko,63.79,74.5,1.38,69,76,5.17
114,muros,42.77,-9.06,46.4,100,75,3.36
115,agadez,16.97,7.99,57.14,31,8,10.42
116,fairbanks,64.84,-147.72,21.2,79,90,5.82
117,hilo,19.71,-155.08,77,61,90,11.41
118,nikolskoye,59.7,30.79,26.6,63,0,11.18
119,torbay,47.66,-52.73,30.2,80,75,14.99
120,bima,-8.45,118.73,79.68,92,8,2.59
121,santiago del estero,-27.8,-64.26,80.31,64,8,7.29
122,new norfolk,-42.78,147.06,66.2,68,75,12.75
124,bafoulabe,13.81,-10.83,74.73,47,8,4.5
125,neryungri,56.66,124.71,10.25,71,68,5.28
126,thompson,55.74,-97.86,-4.01,64,75,4.7
127,severo-kurilsk,50.68,156.12,22.67,100,48,6.17
128,pyaozerskiy,65.83,31.17,14.61,66,12,6.62
129,thessalon,46.26,-83.55,19.4,56,75,3.94
130,hithadhoo,-0.6,73.08,80.31,100,88,2.71
131,fare,-16.7,-151.02,79.23,100,76,17.25
132,sisimiut,66.94,-53.67,-20,56,8,3.6
133,bethel,60.79,-161.76,26.6,100,90,21.92
134,jamestown,-33.21,138.6,79.19,44,20,6.62
135,northam,51.04,-4.21,50,87,20,12.75
136,ukiah,39.15,-123.21,51.8,43,75,9.17
137,saint-joseph,43.56,6.97,46.4,93,0,3.36
138,pochutla,15.74,-96.47,87.8,69,20,20.8
140,cherskiy,68.75,161.3,-19.77,85,76,5.5
141,sur,22.57,59.53,70.86,100,0,4.05
142,takaungu,-3.68,39.86,74.19,96,68,3.6
143,mar del plata,-46.43,-67.52,76.94,28,8,24.74
144,coihueco,-36.63,-71.83,73.4,60,64,6.93
145,arraial do cabo,-22.97,-42.02,81.53,80,32,6.17
146,baykit,61.68,96.39,11.33,84,76,4.38
147,waingapu,-9.65,120.26,78.33,94,12,4.05
148,vestmannaeyjar,63.44,-20.27,33.96,100,0,22.73
149,ilyich,44.09,41.37,23.66,80,0,4.5
150,henderson,36.04,-114.98,51.8,39,75,16.11
151,saskylakh,71.97,114.09,-15.23,45,0,7.18
152,vanavara,60.35,102.28,5.93,79,36,5.06
153,riyadh,24.63,46.72,51.8,40,0,5.82
154,katsuura,33.93,134.5,33.8,86,40,8.05
155,yar-sale,66.83,70.83,-2.09,82,68,9.98
156,inhambane,-23.87,35.38,74.6,100,92,20.04
157,okahandja,-21.98,16.91,73.4,23,68,4.7
158,iqaluit,63.75,-68.52,-27.41,74,5,23.04
159,port lincoln,-34.72,135.86,66.36,90,24,15.23
160,meulaboh,4.14,96.13,77.66,100,32,3.15
161,pacific grove,36.62,-121.92,53.6,54,20,19.46
162,mocajuba,-2.58,-49.5,75.95,93,68,2.48
163,mount gambier,-37.83,140.78,60.8,72,90,5.82
164,san quintin,17.54,120.52,70.01,89,44,3.83
165,castro,-42.48,-73.76,66.2,52,90,8.05
166,tianpeng,28.88,112.34,34.1,100,100,10.09
167,baishishan,43.58,127.55,12.99,62,0,4.16
168,narrabri,-30.33,149.78,80.6,42,0,14.99
169,saint-philippe,45.36,-73.48,14,66,20,3.36
170,lukulu,-14.38,23.24,68.48,66,8,3.15
171,whitehorse,60.72,-135.06,8.6,60,75,17.22
172,finschhafen,-6.6,147.85,82.38,77,8,2.71
173,ulladulla,-35.36,150.48,75.2,57,0,5.82
174,egvekinot,66.32,-179.17,19.11,90,56,3.38
175,ugoofaaru,5.67,73,81.17,100,0,7.29
177,bambous virieux,-20.34,57.76,78.8,94,75,6.93
178,ostrovnoy,68.05,39.51,19.74,86,76,21.72
180,dwarka,28.58,77.04,59,87,75,4.7
181,sao filipe,14.9,-24.5,69.92,100,24,16.69
182,rio gallegos,-51.62,-69.22,46.4,87,90,10.29
183,ruidoso,33.33,-105.67,53.6,10,1,20.8
184,ponta do sol,-20.63,-46,67.71,94,92,3.83
185,preobrazheniye,42.9,133.91,22.26,54,0,2.26
186,winchester,51.06,-1.31,48.2,93,40,6.93
187,los llanos de aridane,28.66,-17.92,62.6,67,0,1.12
188,coihaique,-45.58,-72.07,62.6,55,75,9.17
189,chegdomyn,51.13,133.04,1.43,56,0,3.6
190,burnie,-41.05,145.91,62.99,100,0,19.71
192,sainte-thecle,46.82,-72.5,6.8,77,90,2.24
193,haysville,37.56,-97.35,35.6,58,1,13.87
194,kitaibaraki,36.84,140.74,32,100,75,3.36
195,bumba,2.18,22.47,75.5,80,64,2.04
196,kishtwar,33.31,75.77,21.95,84,92,1.14
198,sabratah,32.79,12.49,56.19,100,64,15.46
199,cedar rapids,41.98,-91.67,26.6,86,90,4.7
200,kencong,-7.78,112.24,72.84,96,32,3.94
201,avera,33.19,-82.53,51.8,100,90,6.93
202,geraldton,49.72,-86.95,5,50,75,6.93
203,mackay,53.65,-115.58,5,65,75,10.29
204,mahebourg,-20.41,57.7,78.8,94,75,6.93
205,tecoanapa,16.99,-99.26,82.4,65,5,9.17
206,sabang,13.72,123.58,77.21,87,76,9.75
207,ulagan,50.63,87.96,-15.09,52,20,2.15
208,khatanga,71.98,102.47,-11.72,56,8,8.75
209,bilma,18.69,12.92,48.05,64,0,2.59
210,cidreira,-30.17,-50.22,73.25,78,92,11.32
211,wuxue,29.85,115.56,37.16,100,92,4.38
212,brae,60.4,-1.35,46.4,81,0,13.87
213,alibag,18.64,72.88,71.6,73,0,10.87
214,maralal,1.1,36.7,47.28,89,0,2.15
215,gao,16.28,-0.04,64.25,33,68,6.51
216,markova,52.21,104.21,-0.41,77,0,6.71
217,kholodnyy,62.72,147.95,-25.67,34,48,2.59
218,changying,52.87,123.32,15.33,70,36,6.17
219,colotlan,22.1,-103.27,74.15,25,0,8.63
220,shush,55.6,89.45,20.96,81,20,9.19
221,padang,-0.92,100.36,75.2,94,75,2.24
222,provideniya,64.42,-173.23,26.6,79,75,2.24
223,porteirinha,-15.74,-43.03,71,100,92,8.41
224,ambon,47.55,-2.56,48.2,100,90,4.7
225,husavik,50.56,-96.99,-1.64,70,0,10.87
226,quartucciu,39.25,9.18,51.8,75,0,3.36
227,qaanaaq,77.48,-69.36,-19.01,100,0,12.1
229,gat,14.69,-16.54,64.4,82,56,19.46
230,namibe,-15.19,12.15,73.29,100,0,9.64
231,waipawa,-39.94,176.59,72.71,47,0,16.35
232,guerrero negro,27.97,-114.04,60.51,68,8,18.25
233,fortuna,38.18,-1.13,55.4,81,20,8.05
234,sao jose da coroa grande,-8.9,-35.15,78.51,94,20,7.85
235,veraval,49.65,0.71,51.8,61,0,5.82
236,vaitape,-16.52,-151.75,78.83,100,88,13.89
237,ishigaki,24.34,124.16,69.8,88,75,20.8
238,vallenar,-28.58,-70.76,65.73,79,0,2.15
239,anan,33.91,134.64,33.8,86,40,8.05
240,kununurra,-15.77,128.74,78.8,83,32,4.7
241,blackfoot,43.19,-112.35,30.2,68,1,13.87
242,haverfordwest,51.8,-4.97,48.2,87,76,21.92
243,kasongo-lunda,-6.48,16.82,70.91,95,68,2.15
244,umm lajj,25.02,37.27,55.88,100,0,10.65
246,rawson,-43.3,-65.11,87.47,16,0,17.13
247,hasaki,35.73,140.83,30.2,80,20,2.24
248,siuna,13.73,-84.78,78.69,77,24,2.71
249,moron,10.49,-68.2,76.58,63,32,4.72
250,kyabe,9.45,18.94,67.71,55,0,3.49
251,quzhou,28.97,118.86,36.53,100,92,3.6
252,garden city,40.73,-73.63,35.6,83,75,5.82
253,caucaia,-3.73,-38.66,82.4,83,40,8.05
254,port blair,11.67,92.75,82.43,100,0,5.17
255,saint-pierre,48.95,4.24,42.8,56,0,8.05
256,paciran,-6.9,112.33,74.15,97,36,4.5
257,nioro,13.79,-15.05,78.83,27,80,10.42
258,clyde river,70.47,-68.59,-9.41,83,90,24.16
259,tiksi,71.64,128.87,-5.51,69,44,13.44
260,vokhtoga,58.81,41.03,24.11,79,56,28.32
261,karia,11.73,11.16,62.99,34,0,7.74
262,general roca,-39.03,-67.58,95,34,40,4.7
263,shubarkuduk,49.15,56.49,26.99,92,88,15.57
264,mercedes,-33.25,-58.03,80.09,57,8,10.65
266,puerto escondido,15.86,-97.07,82.4,69,20,20.8
267,manicore,-5.81,-61.3,81.84,73,32,3.94
268,nkhotakota,-12.93,34.3,73.56,96,36,2.37
269,seoul,37.57,126.98,23,92,1,2.24
271,labuhan,-2.54,115.51,71.94,98,92,3.04
272,sibu,2.29,111.83,75.2,94,75,3.38
274,virginia beach,36.85,-75.98,44.6,93,75,3.36
275,lyngdal,58.14,7.07,41,100,76,2.24
276,port hardy,50.7,-127.42,39.2,69,20,5.82
277,sangar,63.92,127.47,-29.18,46,0,3.38
278,uva,56.98,52.19,26.13,94,92,3.38
280,kaeo,-35.1,173.78,77.88,51,0,8.3
281,sankheda,22.21,73.58,54.62,70,0,2.82
282,necochea,-38.55,-58.74,80.94,46,0,11.88
283,lazurne,46.77,34.99,34.82,93,24,11.54
284,windhoek,-22.57,17.08,73.4,23,0,4.7
285,abu kamal,34.45,40.92,33.69,75,12,4.72
286,deputatskiy,69.3,139.9,-45.65,0,0,2.71
287,santa maria,-29.69,-53.81,78.8,69,20,6.93
288,skara,58.38,13.44,41,100,12,10.29
289,cam ranh,11.92,109.15,75.2,94,20,1.48
290,port shepstone,-30.74,30.45,70.82,94,0,15.23
291,southbridge,42.08,-72.03,35.6,39,1,2.48
292,piacabucu,-10.41,-36.43,79.01,90,8,10.42
293,mbaiki,3.87,17.99,73.88,90,12,1.81
294,yulara,-25.24,130.99,82.4,12,0,8.05
